industry_id,industry
0,ELECTRONIC COMPUTERS
1,SERVICES-PREPACKAGED SOFTWARE
2,RETAIL-CATALOG & MAIL-ORDER HOUSES
3,SEMICONDUCTORS & RELATED DEVICES
4,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
5,MOTOR VEHICLES & PASSENGER CAR BODIES
6,RETAIL-VARIETY STORES
7,BEVERAGES
8,COMPUTER COMMUNICATIONS EQUIPMENT
9,SERVICES-VIDEO TAPE RENTAL
10,CABLE & OTHER PAY TELEVISION SERVICES
11,RADIOTELEPHONE COMMUNICATIONS
12,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)"
13,AIRCRAFT ENGINES & ENGINE PARTS
14,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT
15,TRANSPORTATION SERVICES
16,RETAIL-EATING & DRINKING PLACES
17,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES"
18,SERVICES-COMPUTER PROCESSING & DATA PREPARATION
19,FOOD AND KINDRED PRODUCTS
20,"SPECIAL INDUSTRY MACHINERY, NEC"
21,PHARMACEUTICAL PREPARATIONS
22,"COMPUTER PERIPHERAL EQUIPMENT, NEC"
23,"SERVICES-BUSINESS SERVICES, NEC"
24,OPTICAL INSTRUMENTS & LENSES
25,HOTELS & MOTELS
26,"RAILROADS, LINE-HAUL OPERATING"
27,SERVICES-TO DWELLINGS & OTHER BUILDINGS
28,BOTTLED & CANNED SOFT DRINKS & CARBONATED WATERS
29,RETAIL-AUTO & HOME SUPPLY STORES
30,"MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS"
31,APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL
32,TRUCKING (NO LOCAL)
33,"SERVICES-ENGINEERING, ACCOUNTING, RESEARCH, MANAGEMENT"
34,RETAIL-AUTO DEALERS & GASOLINE STATIONS
35,RETAIL-FAMILY CLOTHING STORES
36,"CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES"
37,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS
38,ELECTRIC & OTHER SERVICES COMBINED
39,ELECTRIC SERVICES
40,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES
41,OIL & GAS FIELD MACHINERY & EQUIPMENT
42,SERVICES-COMPUTER PROGRAMMING SERVICES
43,"RETAIL-BUILDING MATERIALS, HARDWARE, GARDEN SUPPLY"
44,X-RAY APPARATUS & TUBES & RELATED IRRADIATION APPARATUS
45,CRUDE PETROLEUM & NATURAL GAS
46,LABORATORY ANALYTICAL INSTRUMENTS
47,RETAIL-DRUG STORES AND PROPRIETARY STORES
48,RADIO BROADCASTING STATIONS
49,"RETAIL-RETAIL STORES, NEC"
50,BLANK CHECKS
